type,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20
Random,35.05,31.5,30.47,32.7,32.45,30.93,31.01,32.89,31.81,32.85,33.13,31.64,31.28,32.59,32.76,33.29,31.81,33.82,33.59,31.96
Random,33.1,31.93,32.35,33.13,32.39,33.56,31.67,31.43,31.5,34.65,32.01,31.93,32.37,32.95,33.03,32.26,31.9,31.92,33.04,32.03
Random,34.12,32.48,31.29,33.38,32.68,31.98,33.63,32.45,32.65,33.06,32.39,32.76,32.57,32.9,34.68,32.45,33.52,32.17,33.4,33.54
Random,34.35,32.6,32.53,33.6,32.73,33.12,32.5,32.65,33.48,33.46,32.71,32.78,32.6,33.2,33.09,32.62,32.34,32.18,33.26,32.26
Random,34.79,32.67,32.54,33.71,33.4,33.23,32.85,32.9,33.52,33.28,33.34,32.98,32.9,33.12,33.15,32.89,32.76,32.2,33.42,33.52
Random,35.19,34.18,33.17,33.76,33.49,33.2,33.49,33.01,33.62,33.68,33.56,32.93,32.9,35.12,33.62,32.89,33.03,32.39,33.49,33.93
Random,35.29,33.29,33.48,33.96,33.54,33.63,33.57,33.26,33.9,33.98,33.81,33.18,32.99,33.52,33.84,33.4,33.42,33.26,33.62,34.21
Random,35.15,33.7,33.57,34.04,33.63,33.9,34.37,33.31,34.21,34.06,34.04,35.27,33.23,33.56,33.9,33.54,33.95,33.32,33.84,34.29
Random,35.76,34.02,34.1,34.26,33.74,34.4,34.52,33.45,34.23,34.3,34.09,33.82,33.35,33.57,33.82,33.57,34.3,33.91,33.98,34.21
Random,35.86,34.26,34.37,34.52,35.1,34.45,34.38,33.62,34.6,34.46,34.34,34.09,33.45,33.65,33.95,33.63,34.38,33.81,33.96,34.48
Random,35.88,34.49,34.84,34.49,33.76,34.52,34.48,33.79,34.73,34.3,34.43,34.68,33.56,33.84,34.01,33.96,34.51,34.48,34.2,34.38
Random,36.16,34.57,34.99,34.68,34.1,34.45,34.55,33.7,34.76,34.84,34.77,35.05,35.55,34.01,34.2,34.49,34.79,34.73,34.3,34.91
Random,36.29,35.1,35.01,34.82,34.65,34.69,34.73,34.96,35.35,34.98,35.47,35.1,34.46,34.71,34.49,35.04,34.82,34.74,34.27,34.91
Random,37.75,35.51,35.49,34.85,34.74,35.04,35.16,35.05,35.65,35.6,35.58,35.16,34.91,35.07,34.85,35.35,34.79,34.94,35.19,34.96
Random,38.3,36.43,36.04,35.46,35.52,35.23,35.52,35.08,35.69,36.25,35.71,35.4,36.19,35.27,35.1,35.32,35.26,35.63,35.68,34.96
Random,38.5,37.27,37.08,36.58,36.05,35.33,35.47,36.91,36.46,36.54,36.13,36.85,36.68,36.02,35.46,35.96,36.05,37.69,36.46,35.8
Sequential,18.27,18.19,17.72,17.97,18.27,17.91,17.92,18.38,18.47,17.91,17.66,18.13,17.85,18.16,17.19,17.92,17.72,19.22,18.25,18.31
Sequential,21.65,21.06,20.87,20.61,21.29,21.51,20.98,21.17,21.12,20.61,20.78,20.56,20.97,20.87,20.19,21.18,20.9,21.79,20.73,21.06
Sequential,21.84,21.59,22.15,21.86,22.03,22.06,21.68,22.12,22.32,21.48,21.96,21.56,21.29,21.9,21.06,21.56,21.14,22.59,21.59,21.96
Sequential,25.24,26.38,26.1,25.6,25.52,25.24,25.3,25.24,25.38,25.93,25.07,25.3,24.9,25.32,26.1,24.68,24.57,25.46,25.13,25.3
Sequential,27.07,27.38,27.69,26.63,26.63,26.94,26.36,26.27,26.47,26.5,26.79,25.83,26.13,25.86,27.64,25.97,25.55,26.75,25.46,25.58
Sequential,29.56,30.4,30.79,29.23,29.98,29.78,29.66,29.91,29.76,29.55,29.92,29.33,29.13,29.22,30.76,28.95,30.06,29.81,29.34,29.53
Sequential,33.07,33.18,32.62,32.96,32.98,32.51,32.68,32.84,32.62,32.87,32.78,32.26,32.37,32.7,32.56,32.12,32.12,32.59,32.78,32.17
Sequential,33.6,33.48,33.76,33.37,33.28,33.6,33.21,33.52,33.31,33.32,33.07,32.67,33.34,32.98,32.64,32.82,32.35,33.51,32.99,33.01
Sequential,33.88,33.56,33.9,33.71,33.63,33.91,33.37,33.82,33.76,33.59,33.71,33.01,33.46,33.63,32.87,32.96,32.65,34.24,32.95,33.52
Sequential,38.77,39.5,38.83,38.66,38.52,38.89,38.77,38.56,38.66,38.77,38.41,38.05,38.2,38.58,37.75,38.27,37.97,39.48,38.31,38.24
Sequential,38.8,40.01,39.87,39.23,39.19,39.23,39.13,39.19,39.25,39.33,39.22,38.81,38.5,38.91,39.84,38.94,38.94,39.81,38.75,38.8
Sequential,39.76,39.98,40.33,39.25,39.42,39.37,39.2,39.33,39.45,39.86,39.5,38.83,38.78,39.06,40.39,39,39.16,40.06,39.11,38.94
Sequential,40.11,40.05,40.5,39.58,39.64,39.58,39.52,39.34,39.62,39.98,39.87,39.17,38.98,39.48,40.31,39.14,39.28,40.3,39.44,39.75
Sequential,43.87,43.43,43.45,43.93,43.49,43.82,43.43,44.21,44.32,43.74,43.31,42.95,43.7,43.56,44.65,43.31,42.99,43.91,43.59,43.12
Sequential,44.21,43.49,43.62,43.59,43.43,43.82,43.68,44.09,43.73,44.43,43.56,43.49,43.04,43.51,42.84,43.09,42.93,43.49,43.35,43.31
Sequential,46.38,47.27,46.97,46.38,46.49,46.21,45.72,46.35,45.94,45.96,46.43,45.96,45.97,45.63,47.36,45.82,45.77,46.29,45.71,45.82
