count,bin,upstream_reaches
1,1,2
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,24
9,1,1
10,1,1
11,1,1
12,1,2
13,1,2
14,1,1
15,1,1
16,1,2
17,1,1
18,1,1
19,1,1
20,1,1
21,1,2
22,1,19
23,1,1
24,1,1
25,1,7
26,1,1
27,1,3
28,1,1
29,1,1
30,1,1
31,1,1
32,1,2
33,1,1
34,1,1
35,1,2
36,1,1
37,1,1
38,1,7
39,1,1
40,1,1
41,1,3
42,1,10
43,1,4
44,1,13
45,1,2
46,1,1
47,1,1
48,1,2
49,1,2
50,1,1
51,1,1
52,1,2
53,1,1
54,1,1
55,1,1
56,1,1
57,1,2
58,1,1
59,1,3
60,1,2
61,1,3
62,1,9
63,1,9
64,1,2
65,1,1
66,1,1
67,1,4
68,1,1
69,1,1
70,1,2
71,1,1
72,1,8
73,1,2
74,1,0
75,1,1
76,1,3
77,1,1
78,1,1
79,1,1
80,1,2
81,1,1
82,1,2
83,1,1
84,1,2
85,1,1
86,1,18
87,1,1
88,1,2
89,1,1
90,1,1
91,1,1
92,1,4
93,1,1
94,1,1
95,1,1
96,1,1
97,1,5
98,1,3
99,1,1
100,1,2
101,1,3
102,1,2
103,1,1
104,1,1
105,1,1
106,1,1
107,1,2
108,1,2
109,1,40
110,1,12
111,1,2
112,1,1
113,1,5
114,1,1
115,1,1
116,1,1
117,1,1
118,1,3
119,1,1
120,1,1
121,1,1
122,1,2
123,1,1
124,1,1
125,1,1
126,1,2
127,1,3
128,1,1
129,1,1
130,1,1
131,1,26
132,1,1
133,1,1
134,1,2
135,1,1
136,1,1
137,1,6
138,1,1
139,1,1
140,1,3
141,1,1
142,1,1
143,1,2
144,1,2
145,1,3
146,1,2
147,1,1
148,1,6
149,1,3
150,1,4
151,1,1
152,1,3
153,1,2
154,1,117
155,1,2
156,1,2
157,1,2
158,1,2
159,1,7
160,1,2
161,1,2
162,1,3
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,25
169,1,4
170,1,1
171,1,2
172,1,2
173,1,4
174,1,1
175,1,3
176,1,41
177,1,1
178,1,1
179,1,20
180,1,2
181,1,1
182,1,1
183,1,1
184,1,2
185,1,1
186,1,3
187,1,3
188,1,1
189,1,1
190,1,1
191,1,3
192,1,1
193,1,3
194,1,2
195,1,2
196,1,2
197,1,2
198,1,1
199,1,1
200,1,3
201,1,1
202,1,1
203,1,1
204,1,1
205,1,2
206,1,2
207,1,1
208,1,1
209,1,3
210,1,1
211,1,1
212,1,2
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,3
222,1,1
223,1,9
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,1,2
232,1,1
233,1,1
234,1,1
235,1,1
236,1,2
237,1,1
238,1,3
239,1,2
240,1,1
241,1,1
242,1,1
243,1,2
244,1,5
245,1,4
246,1,1
247,1,12
248,1,6
249,1,1
250,1,4
251,1,3
252,1,1
253,1,3
254,1,2
255,1,1
256,1,1
257,1,3
258,1,2
259,1,1
260,1,3
261,1,1
262,1,1
263,1,67
264,1,2
265,1,2
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
