run_class,run_type,time
r,Rand,35.05
r,Rand,31.5
r,Rand,30.47
r,Rand,32.7
r,Rand,32.45
r,Rand,30.93
r,Rand,31.01
r,Rand,32.89
r,Rand,31.81
r,Rand,32.85
r,Rand,33.13
r,Rand,31.64
r,Rand,31.28
r,Rand,32.59
r,Rand,32.76
r,Rand,33.29
r,Rand,31.81
r,Rand,33.82
r,Rand,33.59
r,Rand,31.96
r,Rand+Write,74.05
r,Rand+Write,70.5
r,Rand+Write,69.47
r,Rand+Write,71.7
r,Rand+Write,71.45
r,Rand+Write,69.93
r,Rand+Write,70.01
r,Rand+Write,71.89
r,Rand+Write,70.81
r,Rand+Write,71.85
r,Rand+Write,72.13
r,Rand+Write,70.64
r,Rand+Write,70.28
r,Rand+Write,71.59
r,Rand+Write,71.76
r,Rand+Write,72.29
r,Rand+Write,70.81
r,Rand+Write,72.82
r,Rand+Write,72.59
r,Rand+Write,70.96
s,Seq,18.27
s,Seq,18.19
s,Seq,17.72
s,Seq,17.97
s,Seq,18.27
s,Seq,17.91
s,Seq,17.92
s,Seq,18.38
s,Seq,18.47
s,Seq,17.91
s,Seq,17.66
s,Seq,18.13
s,Seq,17.85
s,Seq,18.16
s,Seq,17.19
s,Seq,17.92
s,Seq,17.72
s,Seq,19.22
s,Seq,18.25
s,Seq,18.31
s,Seq+Write,58.47
s,Seq+Write,58.39
s,Seq+Write,57.92
s,Seq+Write,58.17
s,Seq+Write,58.47
s,Seq+Write,58.11
s,Seq+Write,58.12
s,Seq+Write,58.58
s,Seq+Write,58.67
s,Seq+Write,58.11
s,Seq+Write,57.86
s,Seq+Write,58.33
s,Seq+Write,58.05
s,Seq+Write,58.36
s,Seq+Write,57.39
s,Seq+Write,58.12
s,Seq+Write,57.92
s,Seq+Write,59.42
s,Seq+Write,58.45
s,Seq+Write,58.51
